is Elon Musk,created at,source,possibly sensitive,lang,has_text,has_link,has_hashtag,has_at,has_emoji,sentiment,subjectivity,retweet count,reply count,like count,quote count
1,2022-03-24 20:26:49+00:00,Twitter for iPhone,0,tl,1,0,0,0,0,0.0,0.0,6242,4758,85932,356
1,2022-03-24 17:07:22+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.5,10510,10991,69259,1706
1,2022-03-22 13:30:39+00:00,Twitter for iPhone,0,de,1,0,0,0,0,0.0,0.0,14203,16568,274412,1786
1,2022-03-21 18:38:32+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.34375,0.5416666666666666,11435,11013,208047,942
1,2022-03-19 08:35:46+00:00,Twitter for iPhone,0,zxx,0,1,0,0,0,0.0,0.0,66626,25935,784182,5016
1,2022-03-19 05:49:35+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,2216,3151,54250,134
1,2022-03-19 05:48:12+00:00,Twitter for iPhone,0,zxx,1,0,0,0,0,0.0,0.0,4652,4273,78160,271
1,2022-03-19 03:26:10+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,3812,3716,79795,223
1,2022-03-19 03:24:17+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.1520833333333333,0.6520833333333333,13694,9296,156056,1664
1,2022-03-17 06:56:51+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.29375,0.49375,5875,5829,143193,429
1,2022-03-17 06:52:38+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.236111111111111,0.38055555555555554,23761,15945,294070,2630
1,2022-03-17 04:19:35+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,15134,18557,269699,2351
1,2022-03-15 20:32:20+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0999999999999999,0.6,22729,14753,340374,5157
1,2022-03-15 20:20:19+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.0,0.0,20820,16228,224781,5782
1,2022-03-15 00:46:22+00:00,Twitter for iPhone,0,en,1,0,0,0,0,0.25,0.5,8427,5735,121224,430
1,2022-03-14 11:53:36+00:00,Twitter for iPhone,0,ru,1,0,0,0,0,0.0,0.0,9268,7630,124989,1429
